Parameters,Units,July'20,Aug'20,Sept'20,Oct'20,Nov'20,Dec'20,Jan'21,Feb'21,Mar'21,Apr'21,May'21,Jun'21,Jul'21,Aug'21,Sep'21,Oct'21,Nov'21,Dec'21,Jan'22,Feb'22,Mar'22,,,,,,
Customer Analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total transacting customers,Mn,15,17,17,22,20,16,17,15,16,15,16,18,19,19,20,24,21,24,20,17,18,,,,,,
Top-Line Metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gross Transactions ,Mn,38,48,39,59,48,38,40,33,46,36,41,43,49,46,41,65,44,42,48,37,41,,,,,,
M-O-M change,,,25%,-18%,50%,-18%,-22%,6%,-17%,38%,-20%,14%,5%,12%,-6%,-11%,59%,-32%,-5%,15%,-23%,12%,,,,,,
Shipped Transactions,Mn,35,43,36,52,44,34,36,30,42,33,38,39,38,42,37,59,40,38,44,34,39,,,,,,
M-O-M change,,,23%,-17%,45%,-16%,-22%,5%,-16%,37%,-20%,13%,4%,-5%,11%,-10%,57%,-31%,-6%,17%,-22%,15%,,,,,,
Checkout GMV ,USD Mn,1088,1562,1119,2289,1283,927,1144,826,927,923,1078,1311,1552,1274,995,2457,1061,1089,1440,1038,1172,,,,,,
M-O-M change,,,44%,-28%,105%,-44%,-28%,23%,-28%,12%,-1%,17%,22%,18%,-18%,-22%,147%,-57%,3%,32%,-28%,13%,,,,,,
Shipped GMV ,USD Mn,1009,1423,1035,2042,1175,850,1043,761,849,850,982,1185,1423,1159,908,2209,963,980,1312,955,1107,,,,,,
M-O-M change,,,41%,-27%,97%,-42%,-28%,23%,-27%,12%,0%,16%,21%,20%,-19%,-22%,143%,-56%,2%,34%,-27%,16%,,,,,,
Fulfilled GMV i.e. GMV post Return,USD Mn,838,1149,855,1613,940,680,822,633,698,700,821,991,1195,915,734,1697,756,769,1051,781,874,,,,,,
M-O-M change,,,37%,-26%,89%,-42%,-28%,21%,-23%,10%,0%,17%,21%,21%,-23%,-20%,131%,-55%,2%,37%,-26%,12%,,,,,,
Average Order Value per transaction ,USD,29,33,29,39,27,25,29,25,20,25,26,30,32,28,24,38,24,26,30,28,28,,,,,,
ASP per item,USD,15,18,15,21,16,16,17,17,17,17,16,15,23,20,19,25,19,18,21,19,20,,,,,,
Category - Shipped GMV for the month,USD Mn,1009,1423,1035,2042,1175,850,1043,761,849,814,982,1185,1395,1134,887,2184,938,957,1283,928,1043,,,,,,
Mobiles,USD Mn,397,552,398,869,397,267,369,225,229,223,280,424,547,413,308,894,302,303,481,345,357,,,,,,
M-O-M change,%,,39%,-28%,119%,-54%,-33%,38%,-39%,2%,-3%,25%,52%,29%,-24%,-25%,190%,-66%,0%,59%,-28%,3%,,,,,,
Electronic Devices,USD Mn,204,323,202,385,210,162,157,145,163,164,224,245,296,233,178,423,181,197,261,178,184,,,,,,
M-O-M change,%,,58%,-37%,91%,-46%,-23%,-3%,-7%,12%,1%,36%,10%,21%,-21%,-24%,138%,-57%,9%,33%,-32%,4%,,,,,,
Large & Small Appliances,USD Mn,59,94,59,155,100,60,75,54,87,83,77,90,107,88,64,162,76,71,105,71,113,,,,,,
M-O-M change,%,,58%,-36%,160%,-35%,-40%,25%,-28%,61%,-5%,-7%,17%,19%,-18%,-27%,153%,-53%,-7%,47%,-32%,59%,,,,,,
Fashion,USD Mn,71,92,79,158,127,95,93,84,81,71,71,95,115,109,89,220,108,106,101,81,101,,,,,,
M-O-M change,%,,29%,-14%,101%,-20%,-25%,-2%,-9%,-4%,-12%,0%,34%,22%,-5%,-18%,147%,-51%,-2%,-4%,-20%,25%,,,,,,
Home (Home Décor/Home Furnishings/ Kitchenware/Furniture/Home Improvement),USD Mn,96,149,105,224,149,102,115,85,104,98,96,107,122,109,86,179,107,102,126,85,103,,,,,,
M-O-M change,%,,55%,-30%,113%,-34%,-32%,13%,-27%,24%,-6%,-2%,12%,14%,-11%,-21%,108%,-40%,-5%,24%,-32%,21%,,,,,,
Books and General Merchandise,USD Mn,182,214,193,250,192,164,234,167,185,174,235,224,208,181,162,306,164,178,208,168,184,,,,,,
M-O-M change,%,,18%,-10%,30%,-23%,-15%,43%,-29%,11%,-6%,35%,-5%,-7%,-13%,-10%,89%,-46%,9%,17%,-19%,10%,,,,,,
Category - Shipped Units for the month,Mn,67,78,68,97,74,53,60,46,50,49,61,78,63,59,49,89,51,54,63,49,56,,,,,,
Mobiles,Mn,2,2,2,4,2,1,2,1,1,1,1,2,2,2,1,3,1,1,2,1,1,,,,,,
M-O-M change,%,,37%,-20%,93%,-51%,-30%,35%,-38%,0%,-3%,10%,51%,18%,0%,-50%,200%,-67%,0%,78%,-22%,3%,,,,,,
Electronic Devices,Mn,7,9,7,10,7,6,5,5,5,5,7,8,9,8,6,11,6,7,8,6,6,,,,,,
M-O-M change,%,,31%,-24%,55%,-37%,-16%,-7%,-9%,11%,5%,31%,13%,12%,-11%,-25%,83%,-45%,17%,15%,-25%,4%,,,,,,
Large & Small Appliances,Mn,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,
M-O-M change,%,,57%,-35%,77%,-34%,-33%,14%,-30%,56%,3%,13%,23%,15%,0%,0%,0%,0%,0%,-1%,-33%,51%,,,,,,
Fashion,Mn,7,9,7,13,11,9,8,7,7,7,7,9,10,10,8,20,9,9,9,7,9,,,,,,
M-O-M change,%,,23%,-20%,82%,-13%,-21%,-10%,-9%,-6%,-2%,5%,20%,16%,0%,-20%,150%,-55%,0%,-1%,-20%,29%,,,,,,
Home (Home Décor/Home Furnishings/ Kitchenware/Furniture/Home Improvement),Mn,12,17,13,23,16,12,13,9,11,11,11,13,13,13,10,16,12,11,14,10,12,,,,,,
M-O-M change,%,,47%,-28%,85%,-30%,-23%,3%,-29%,23%,-3%,3%,12%,4%,0%,-23%,60%,-25%,-8%,26%,-30%,20%,,,,,,
Books and General Merchandise,Mn,39,39,39,45,37,24,32,23,25,25,33,46,28,26,23,38,22,25,29,24,27,,,,,,
M-O-M change,%,,0%,1%,16%,-18%,-35%,32%,-29%,10%,-2%,35%,38%,-39%,-7%,-12%,65%,-42%,14%,17%,-16%,9%,,,,,,
Category - ASP,USD,15.0,18,15,21,16,16,17,17,17,16,16,15,22,19,18,24,18,14,16,14,14,,,,,,
Mobiles,USD,227,231,208,236,220,213,217,214,217,219,249,250,279,244,242,285,254,250,270,250,250,,,,,,
M-O-M change,%,,2%,-10%,13%,-7%,-3%,2%,-1%,1%,1%,14%,0%,11%,-13%,-1%,18%,-11%,-2%,8%,-8%,0%,,,,,,
Electronic Devices,USD,30,36,30,37,32.0,29.2,30.3,30.9,31,30,31,30,32,30,29,39,30,30,31,30,30,,,,,,
M-O-M change,%,,21%,-17%,24%,-13%,-9%,4%,2%,1%,-3%,4%,-3%,5%,-6%,-3%,34%,-23%,-1%,3%,-3%,0%,,,,,,
Large & Small Appliances,USD,98,98,96,141,137,122,134,138,142,132,108,103,110,105,100,130,101,96,106,107,114,,,,,,
M-O-M change,%,,0%,-2%,47%,-3%,-11%,10%,3%,3%,-7%,-18%,-4%,6%,-5%,-5%,30%,-22%,-5%,10%,1%,7%,,,,,,
Fashion,USD,10,10,11,12,11,11,11,11,12,10,10,11,11,11,11,11,12,11,11,11,11,,,,,,
M-O-M change,%,,5%,8%,11%,-8%,-6%,9%,-1%,2%,-10%,-5%,12%,0%,0%,0%,0%,9%,-8%,3%,-1%,-3%,,,,,,
Home (Home Décor/Home Furnishings/ Kitchenware/Furniture/Home Improvement),USD,8,9,8,10,9,8,9,9,9,9,9,9,9,9,9,11,9,9,9,9,9,,,,,,
M-O-M change,%,,5%,-2%,15%,-5%,-11%,10%,3%,1%,-3%,-5%,0%,5%,0%,0%,22%,-18%,0%,1%,-3%,1%,,,,,,
Books and General Merchandise,USD,5,6,5,6,5.1,6.8,7.3,7.3,7,7,7,5,7,7,7,8,7,7,7,7,7,,,,,,
M-O-M change,%,,18%,-10%,12%,-7%,32%,8%,0%,1%,-4%,0%,-31%,43%,0%,0%,14%,-13%,0%,2%,-4%,1%,,,,,,
Top-line share metrics,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Payment Method - % Share of Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% COD,%,20%,27%,29%,30%,34%,35%,39%,40%,36%,25%,24%,25%,24%,21%,24%,22%,24%,23%,21%,23%,21%,,,,,,
% Prepaid,%,80%,73%,71%,70%,66%,65%,61%,60%,64%,75%,76%,75%,76%,79%,76%,78%,76%,77%,79%,77%,79%,,,,,,
Share of Amazon pay in electronic payment,Mn ,22.4,22.4,22.4,33.3,26.4,23.0,25.1,20.5,23.7,23.7,28.6,28.2,28.5,28.1,25.7,32.1,22.1,22.4,24.1,22.3,22.8,,,,,,
Supply chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orders shipped per day,Lacs,11.3,14.0,12.1,16.9,14.2,11.1,11.7,10.9,13.5,11.1,12.2,13.1,14.4,13.4,12.4,18.9,14.0,12.2,14.2,12.2,14.0,,,,,,
Total FCs,#,83,83,83,83,83,83,83,83,83,83,83,83,86,86,86,86,86,86,86,86,86,,,,,,
Returns(RTO+RVP),%,17%,18%,17%,21%,20%,20%,21%,17%,18%,18%,16%,16%,16%,21%,19%,23%,22%,22%,20%,18%,18%,,,,,,
Shipment Split by 3PL and Captive,,,,,,,,,,,,,,,,,,,,,,,,,,,,
% share of Captive,%,85%,85%,85%,81%,85%,88%,89%,89%,89%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,90%,,,,,,
% share of 3PL,%,15%,15%,15%,19%,15%,12%,11%,11%,11%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,,,,,,
GMV split by City/Tier,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro,%,57%,58%,56%,55%,55%,58%,57%,57%,57%,54%,54%,53%,51%,50%,50%,49%,49%,48%,46%,47%,47%,,,,,,
Tier-I,%,20%,21%,22%,20%,21%,20%,20%,21%,20%,21%,22%,21%,20%,20%,19%,16%,14%,14%,14%,18%,17%,,,,,,
Others,%,23%,21%,22%,25%,24%,22%,23%,22%,23%,25%,25%,26%,29%,30%,31%,35%,37%,38%,40%,35%,36%,,,,,,
P&L Parameters,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Checkout GMV ,USD Mn,1088,1562,1119,2289,1283,927,1144,826,927,923,1078,1311,1552,1078,995,2457,1061,1089,1440,1038,1172,,,,,,
Shipped out GMV ,USD Mn,1009,1423,1035,2042,1175,850,1043,761,849,850,982,1185,1423,982,908,2209,963,980,1312,955,1107,,,,,,
Fulfilled GMV ,USD Mn,838,1149,855,1613,940,680,822,633,698,700,821,991,1195,821,734,1697,756,769,1051,781,874,,,,,,
Revenue from Operations (Take Rate + Delivery Charges ),USD Mn,104,126,93,175,115,83,100,77,85,87,104,123,148,104,91,210,95,95,132,97,108,,,,,,
Other Revenue (Includes Advertising revenue and others ),USD Mn,10,23,10,10,11,8,10,8,8,8,10,12,14,10,9,20,9,9,13,9,10,,,,,,
Total Revenue ,USD Mn,113,149,103,185,126,91,110,85,93,95,114,135,162,114,100,230,104,105,145,106,118,,,,,,
Supply Chain Costs (Fixed and Variable Included),USD Mn,-149,-115,-104,-195,-132,-95,-115,-89,-98,-98,-119,-139,-167,-119,-103,-238,-108,-108,-145,-105,-119,,,,,,
Payment Gateway Costs (Only on the Pre-paid orders),USD Mn,-13,-29,-12,-24,-19,-14,-17,-12,-14,-14,-16,-20,-23,-16,-15,-37,-16,-16,-23,-16,-18,,,,,,
Marketing Expediture ,USD Mn,-21,-48,-31,-58,-39,-28,-34,-26,-29,-29,-35,-41,-49,-35,-30,-70,-23,-23,-35,-26,-28,,,,,,
Contribution Margin (as % of Fulfilled GMV),%,-8%,-4%,-5%,-6%,-7%,-7%,-7%,-7%,-7%,-6%,-7%,-6%,-6%,-7%,-7%,-7%,-6%,-6%,-6%,-5%,-5%,,,,,,
Tech & Admin/Emplyee Costs and other costs ,USD Mn,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-21,-22,-22,,,,,,
Cash Burn,USD Mn,-90,-64,-65,-114,-85,-67,-77,-63,-68,-66,-77,-85,-98,-77,-69,-136,-64,-64,-79,-63,-69,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
